,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
174,61,5,260.0,True,40.0,True,6650.0,-1,0,0,0.0,0,6650.0,6910.0,0.0,260.0,53.0,0.0,1.0,1.0
175,46,16,43.0,True,4.0,True,6696.0,-1,0,0,0.0,7,6911.0,6911.0,215.0,215.0,0.0,0.0,0.0,0.0
176,8,23,2.0,True,97.0,True,6704.0,-1,0,0,0.0,5,6911.0,6911.0,207.0,207.0,0.0,0.0,0.0,0.0
177,26,24,67.0,True,97.0,True,6730.0,-1,0,0,0.0,6,6911.0,6911.0,181.0,181.0,0.0,0.0,0.0,0.0
178,78,16,987.0,True,97.0,True,6808.0,-1,0,0,0.0,4,6911.0,6911.0,103.0,103.0,0.0,0.0,0.0,0.0
179,38,2,8.0,True,609.0,True,6846.0,-1,0,0,0.0,2,6911.0,6911.0,65.0,65.0,0.0,0.0,0.0,0.0
180,44,7,3098.0,True,302.0,True,6890.0,-1,0,0,0.0,3,6911.0,6911.0,21.0,21.0,0.0,0.0,0.0,0.0
181,6,25,3598.0,False,2787.0,False,6896.0,-1,0,0,0.0,1,6911.0,6911.0,15.0,15.0,0.0,0.0,0.0,0.0
182,49,12,504.0,True,177.0,True,6945.0,-1,0,0,0.0,0,6945.0,7449.0,0.0,504.0,34.0,0.0,1.0,1.0
183,71,11,3598.0,False,2852.0,False,7016.0,-1,0,0,0.0,1,7450.0,7450.0,434.0,434.0,0.0,0.0,0.0,0.0
184,73,19,1695.0,True,15.0,True,7089.0,-1,0,0,0.0,5,7450.0,7450.0,361.0,361.0,0.0,0.0,0.0,0.0
185,39,21,1.0,True,1.0,True,7128.0,-1,0,0,0.0,9,7450.0,7450.0,322.0,322.0,0.0,0.0,0.0,0.0
186,62,6,1.0,True,1.0,True,7190.0,-1,0,0,0.0,8,7450.0,7450.0,260.0,260.0,0.0,0.0,0.0,0.0
187,50,24,1.0,True,1.0,True,7240.0,-1,0,0,0.0,7,7450.0,7450.0,210.0,210.0,0.0,0.0,0.0,0.0
