,interArrivalTime,maximumWaitingTime,RealServiceTime,RealSolvable,PredictedServiceTime,PredictedSolvable,ArrivalTime,MIPAttended,Stopped,MIPnotScheduled,MIPRunTime,QueuedInstances,TimeServiceBegins,TimeServiceEnds,WaitingTimeInQueue,TimeInstanceInSystem,IdleTimeOfServer,VM,Attended,Solved
811,23,655,1.0,True,1.0,True,12905.0,1,0,0,0.0,1,13426.0,13427.0,521.0,522.0,0.0,0.0,1.0,1.0
813,14,566,1.0,True,1.0,True,12950.0,1,0,0,0.1,4,13428.0,13429.0,478.0,479.0,0.0,0.0,1.0,1.0
812,31,523,1.0,True,1.0,True,12936.0,1,0,0,0.0,3,13430.0,13431.0,494.0,495.0,0.0,0.0,1.0,1.0
815,15,559,1.0,True,1.0,True,12981.0,1,0,0,0.0,2,13432.0,13433.0,451.0,452.0,0.0,0.0,1.0,1.0
816,17,699,1.0,True,1.0,True,12998.0,1,0,0,0.0,1,13434.0,13435.0,436.0,437.0,0.0,0.0,1.0,1.0
832,6,557,2.0,True,2.0,True,13293.0,1,0,0,0.12,4,13436.0,13438.0,143.0,145.0,0.0,0.0,1.0,1.0
823,23,659,2.0,True,2.0,True,13097.0,1,0,0,0.0,3,13439.0,13441.0,342.0,344.0,0.0,0.0,1.0,1.0
831,30,595,2.0,True,2.0,True,13287.0,1,0,0,0.0,2,13442.0,13444.0,155.0,157.0,0.0,0.0,1.0,1.0
814,16,596,1.0,True,1.0,True,12966.0,1,0,0,0.0,1,13445.0,13446.0,479.0,480.0,0.0,0.0,1.0,1.0
809,12,642,7.0,True,7.0,True,12864.0,1,0,0,0.14,4,13447.0,13454.0,583.0,590.0,0.0,0.0,1.0,1.0
828,26,689,7.0,True,7.0,True,13223.0,1,0,0,0.0,3,13455.0,13462.0,232.0,239.0,0.0,0.0,1.0,1.0
822,2,570,5.0,True,5.0,True,13074.0,1,0,0,0.0,2,13463.0,13468.0,389.0,394.0,0.0,0.0,1.0,1.0
829,14,695,10.0,True,10.0,True,13237.0,1,0,0,0.0,1,13469.0,13479.0,232.0,242.0,0.0,0.0,1.0,1.0
818,6,500,21.0,True,21.0,True,13035.0,1,0,0,0.13,4,13480.0,13501.0,445.0,466.0,0.0,0.0,1.0,1.0
817,31,626,17.0,True,17.0,True,13029.0,1,0,0,0.0,3,13502.0,13519.0,473.0,490.0,0.0,0.0,1.0,1.0
840,9,573,10.0,True,10.0,True,13419.0,1,0,0,0.0,2,13517.0,13527.0,98.0,108.0,0.0,2.0,1.0,1.0
844,2,656,2.0,True,2.0,True,13479.0,1,0,0,0.0,1,13520.0,13522.0,41.0,43.0,0.0,0.0,1.0,1.0
839,20,590,35.0,True,35.0,True,13410.0,1,0,0,0.13,4,13523.0,13558.0,113.0,148.0,0.0,0.0,1.0,1.0
826,29,734,69.0,True,69.0,True,13170.0,1,0,0,0.0,3,13528.0,13597.0,358.0,427.0,0.0,2.0,1.0,1.0
848,26,505,1.0,True,1.0,True,13542.0,1,0,0,0.13,4,13559.0,13560.0,17.0,18.0,0.0,0.0,1.0,1.0
821,22,510,179.0,True,179.0,True,13072.0,1,0,0,0.14,4,13561.0,13740.0,489.0,668.0,0.0,0.0,1.0,1.0
819,13,534,222.0,True,222.0,True,13048.0,0,0,1,0.0,1,13598.0,13598.0,550.0,550.0,0.0,2.0,0.0,0.0
835,17,730,44.0,True,44.0,True,13355.0,1,0,0,0.0,2,13598.0,13642.0,243.0,287.0,0.0,2.0,1.0,1.0
820,2,553,579.0,True,579.0,True,13050.0,-1,0,0,0.0,10,13643.0,13643.0,593.0,593.0,0.0,2.0,0.0,0.0
851,27,505,5.0,True,5.0,True,13602.0,1,0,0,0.08,4,13643.0,13648.0,41.0,46.0,0.0,2.0,1.0,1.0
845,12,575,9.0,True,9.0,True,13491.0,1,0,0,0.09,4,13649.0,13658.0,158.0,167.0,0.0,2.0,1.0,1.0
856,17,511,4.0,True,4.0,True,13652.0,1,0,0,0.1,4,13659.0,13663.0,7.0,11.0,0.0,2.0,1.0,1.0
857,8,519,13.0,True,13.0,True,13660.0,1,0,0,0.09,4,13664.0,13677.0,4.0,17.0,0.0,2.0,1.0,1.0
855,14,670,18.0,True,18.0,True,13635.0,1,0,0,0.09,4,13678.0,13696.0,43.0,61.0,0.0,2.0,1.0,1.0
825,23,547,1387.0,True,1387.0,True,13141.0,-1,0,0,0.0,11,13697.0,13697.0,556.0,556.0,0.0,2.0,0.0,0.0
859,20,576,6.0,True,6.0,True,13683.0,1,0,0,0.07,4,13697.0,13703.0,14.0,20.0,0.0,2.0,1.0,1.0
833,26,555,346.0,True,346.0,True,13319.0,1,0,0,0.09,4,13704.0,14050.0,385.0,731.0,0.0,2.0,1.0,1.0
836,12,632,74.0,True,74.0,True,13367.0,1,0,0,0.1,4,13741.0,13815.0,374.0,448.0,0.0,0.0,1.0,1.0
827,27,598,3598.0,False,3598.0,False,13197.0,-1,0,0,0.0,9,13816.0,13816.0,619.0,619.0,0.0,0.0,0.0,0.0
830,20,512,3598.0,False,3598.0,False,13257.0,-1,0,0,0.0,8,13816.0,13816.0,559.0,559.0,0.0,0.0,0.0,0.0
862,10,688,2.0,True,2.0,True,13732.0,1,0,0,0.0,3,13816.0,13818.0,84.0,86.0,0.0,0.0,1.0,1.0
860,24,608,15.0,True,15.0,True,13707.0,1,0,0,0.0,2,13819.0,13834.0,112.0,127.0,0.0,0.0,1.0,1.0
861,15,745,2.0,True,2.0,True,13722.0,1,0,0,0.0,1,13835.0,13837.0,113.0,115.0,0.0,0.0,1.0,1.0
864,18,639,3.0,True,3.0,True,13752.0,1,0,0,0.14,4,13838.0,13841.0,86.0,89.0,0.0,0.0,1.0,1.0
865,30,547,29.0,True,29.0,True,13782.0,1,0,0,0.0,3,13842.0,13871.0,60.0,89.0,0.0,0.0,1.0,1.0
824,21,731,341.0,True,341.0,True,13118.0,1,0,0,0.0,12,13872.0,13872.0,754.0,754.0,0.0,0.0,0.0,0.0
834,19,510,2655.0,True,2655.0,True,13338.0,-1,0,0,0.0,5,13872.0,13872.0,534.0,534.0,0.0,0.0,0.0,0.0
849,15,635,31.0,True,31.0,True,13557.0,1,0,0,0.0,2,13872.0,13903.0,315.0,346.0,0.0,0.0,1.0,1.0
872,23,668,4.0,True,4.0,True,13895.0,1,0,0,0.11,4,13904.0,13908.0,9.0,13.0,0.0,0.0,1.0,1.0
854,8,697,15.0,True,15.0,True,13621.0,1,0,0,0.11,4,13909.0,13924.0,288.0,303.0,0.0,0.0,1.0,1.0
873,22,632,18.0,True,18.0,True,13917.0,1,0,0,0.09,4,13925.0,13943.0,8.0,26.0,0.0,0.0,1.0,1.0
869,17,673,15.0,True,15.0,True,13840.0,1,0,0,0.0,3,13944.0,13959.0,104.0,119.0,0.0,0.0,1.0,1.0
838,15,561,433.0,True,433.0,True,13390.0,-1,0,0,0.0,13,13960.0,13960.0,570.0,570.0,0.0,0.0,0.0,0.0
867,15,519,75.0,True,75.0,True,13813.0,1,0,0,0.0,2,13960.0,14035.0,147.0,222.0,0.0,0.0,1.0,1.0
842,31,544,502.0,True,502.0,True,13476.0,-1,0,0,0.0,14,14036.0,14036.0,560.0,560.0,0.0,0.0,0.0,0.0
866,16,694,39.0,True,39.0,True,13798.0,1,0,0,0.0,1,14036.0,14075.0,238.0,277.0,0.0,0.0,1.0,1.0
